projectName, groupId, averageLine, variantComplex, distributionComplex, contextComplex, syntacticComplex, instanceNumber
,1076,0.9508196721311475,1.0,1.0,0.0,0.7896900821428474,2
,1075,0.8306010928961749,0.0,1.0,0.0,0.0,2
,1074,0.9562841530054644,1.0,1.0,0.0,0.0,2
,1073,0.9562841530054644,1.0,0.0,0.31091750708257115,0.9463946303571862,5
,1072,0.9562841530054644,1.0,0.0,0.0,0.9463946303571862,2
,1071,0.9234972677595629,1.0,0.9463946303571862,0.5390473417948544,0.0,4
,1070,0.9234972677595629,0.9182958340544896,1.0,0.0,0.9463946303571862,3
,880,0.9617486338797814,0.0,1.0,0.0,0.9821410328348752,2
,881,0.912568306010929,0.0,1.0,0.0,0.8136524099222412,2
,640,0.9508196721311475,0.0,1.0,0.0,0.8263230812990678,2
,882,0.9617486338797814,0.0,1.0,0.0,0.9821410328348752,2
,641,0.912568306010929,0.0,1.0,0.0,0.7343962125424431,2
,883,0.8907103825136612,0.9182958340544896,1.0,0.0,0.625418115623811,3
,400,0.9672131147540983,0.9182958340544896,1.0,0.0,0.0,3
,642,0.9344262295081968,0.0,1.0,0.0,0.6971862088918521,2
,884,0.8852459016393442,0.0,1.0,0.0,0.7669160827649908,2
,401,0.9562841530054644,0.0,1.0,0.0,0.0,2
,643,0.9398907103825137,0.9182958340544896,1.0,0.0,0.5816718657178868,3
,885,0.9672131147540983,1.0,1.0,0.3954884891037233,0.9821410328348752,4
,1069,0.9508196721311475,1.0,0.0,0.0,0.6126016192893442,3
,402,0.8688524590163934,1.0,1.0,0.0,0.7195974817108705,2
,644,0.9562841530054644,0.0,1.0,0.0,0.0,2
,886,0.8524590163934427,0.0,1.0,0.0,0.6961094714265039,2
,1068,0.9562841530054644,1.0,0.0,0.0,0.0,2
,403,0.9562841530054644,0.0,1.0,0.0,0.0,2
,645,0.8579234972677596,1.0,1.0,0.0,0.5854069251508158,2
,887,0.9617486338797814,1.0,1.0,0.0,0.0,2
,1067,0.9672131147540983,1.0,0.0,0.0,0.0,2
,404,0.9453551912568307,1.0,1.0,0.0,0.858672711073255,2
,646,0.644808743169399,0.9182958340544896,1.0,0.0,0.97288250263637,3
,888,0.8743169398907104,1.0,1.0,0.0,0.0,2
,889,0.912568306010929,1.0,1.0,0.0,0.9463946303571862,5
,405,0.9289617486338798,1.0,1.0,0.0,0.7101056374241135,2
,647,0.8852459016393442,0.0,1.0,0.0,0.9543725779839038,2
,406,0.907103825136612,1.0,1.0,0.0,0.0,4
,648,0.8852459016393442,0.0,1.0,0.0,0.9379607148064744,2
,407,0.9234972677595629,1.0,1.0,0.0,0.9808340377961402,4
,649,0.8961748633879781,0.0,1.0,0.0,0.887092015535129,2
,408,0.7923497267759563,1.0,1.0,0.0,0.8033437314357735,2
,409,0.819672131147541,1.0,1.0,0.0,0.757839021442451,3
,1080,0.6885245901639344,1.0,0.0,0.0,0.7793577657063837,2
,1088,0.7978142076502732,1.0,1.0,0.3954884891037233,0.0,4
,1087,0.9508196721311475,1.0,0.0,0.0,0.0,3
,1086,0.9508196721311475,1.0,1.0,0.0,0.8699155297736259,2
,1085,0.8797814207650273,1.0,0.0,0.0,0.9262621550953116,3
,1084,0.7868852459016393,1.0,0.0,0.0,0.861245517321247,2
,1083,0.9016393442622951,1.0,0.0,0.0,0.9463946303571862,2
,1082,0.9344262295081968,1.0,0.0,0.0,0.9463946303571862,2
,890,0.9672131147540983,1.0,0.9182958340544896,0.3954884891037233,0.0,3
,1081,0.7978142076502732,1.0,0.0,0.0,0.9139494879931296,2
,891,0.8907103825136612,1.0,0.9182958340544896,0.3954884891037233,0.0,3
,650,0.7978142076502732,1.0,1.0,0.0,0.5854069251508158,2
,892,0.9672131147540983,1.0,1.0,0.0,0.0,2
,651,0.9508196721311475,1.0,1.0,0.0,0.72483409150576,2
,893,0.8415300546448088,1.0,1.0,0.0,0.0,2
,410,0.9344262295081968,0.0,1.0,0.0,0.8699155297736259,2
,652,0.9344262295081968,1.0,1.0,0.0,0.0,2
,894,0.9508196721311475,1.0,1.0,0.0,0.0,2
,411,0.7650273224043715,0.0,1.0,0.0,0.0,2
,653,0.9289617486338798,1.0,1.0,0.0,0.8194483718728034,2
,895,0.9562841530054644,1.0,1.0,0.0,0.0,2
,412,0.7049180327868853,0.0,1.0,0.0,0.0,2
,654,0.825136612021858,0.0,1.0,0.0,0.6195356586779281,2
,896,0.9016393442622951,1.0,1.0,0.0,0.9602297178607611,4
,413,0.9562841530054644,0.9609640474436811,0.9739760316291208,0.1129712932075364,0.0,10
